用例ID,关联需求,测试场景,前置条件,步骤描述,输入,期望输出,优先级
TC-103,,合同管理-新增合同-关联商机必填,用户已登录系统，弹出新增合同弹窗,"1.在新增合同弹窗中，关联商机下拉留空
2.点击""保存""按钮",1.关联商机：（空）,"1.关联商机字段高亮提示""请选择关联商机""
2.提示""关联商机不能为空""，保存失败",P0
TC-104,,合同管理-新增合同-合同金额格式验证,用户已登录系统，弹出新增合同弹窗,"1.在合同金额输入框中，输入非数字内容
2.在合同金额输入框中，输入负数
3.在合同金额输入框中，输入正确金额","1.合同金额：abc
2.合同金额：-50000
3.合同金额：100000","1.输入被拒绝或提示""请输入有效金额""
2.提示""合同金额不能为负数""
3.输入成功",P0
TC-105,,合同管理-新增合同-合同期限验证,用户已登录系统，弹出新增合同弹窗,1.在合同期限选择器中，选择结束日期早于开始日期,1.开始日期：2025-12-31，结束日期：2025-01-01,"1.提示""结束日期不能早于开始日期""",P1
TC-106,,合同管理-新增合同-保存成功,用户已登录系统，弹出新增合同弹窗，存在已成交商机,"1.填写合同名称
2.选择关联商机
3.输入合同金额
4.选择合同开始日期
5.选择合同结束日期
6.点击""保存""按钮","1.合同名称：测试合同A
2.关联商机：测试商机A
3.合同金额：150000
4.开始日期：2025-06-01
5.结束日期：2026-05-31","1.输入成功
2.已选择""测试商机A""（该商机已成交）
3.输入成功
4.日期选择成功
5.日期选择成功
6.保存成功，弹窗关闭，合同列表新增一条记录",P0
TC-107,,合同管理-编辑合同信息,用户已登录系统，合同管理列表页存在合同数据,"1.在合同列表中，点击某合同的「编辑」按钮
2.修改合同金额
3.点击""保存""按钮",2.合同金额：200000,"1.弹出编辑合同弹窗
2.输入成功
3.保存成功，弹窗关闭，合同列表中合同金额已更新",P0
TC-108,,合同管理-删除合同需二次确认,用户已登录系统，合同管理列表页存在合同数据,"1.在合同列表中，点击某合同的「删除」按钮
2.点击""取消""
3.再次点击「删除」按钮，点击""确认""",,"1.弹出确认提示""确定要删除该合同吗？""
2.删除取消，合同数据保留
3.删除成功，合同从列表中移除",P0
TC-109,,合同管理-关键词搜索,用户已登录系统，合同管理列表页存在多条合同数据,"1.在搜索框中，输入合同名称关键词
2.按回车或点击搜索按钮",1.关键词：测试,"1.搜索结果实时更新
2.列表显示匹配""测试""的合同记录",P1
TC-110,,合同管理-高级筛选-合同状态,用户已登录系统，合同管理列表页存在多条合同数据,"1.点击""筛选""按钮，展开高级筛选
2.在合同状态下拉中选择""执行中""
3.点击""应用""按钮",2.合同状态：执行中,"1.高级筛选区域展开
2.已选择""执行中""
3.列表显示合同状态为""执行中""的合同记录",P1
TC-111,,合同管理-商机成交后自动创建合同,"用户已登录系统，存在商机阶段为""合同签订""的商机","1.将某商机的阶段推进至""合同签订""
2.系统自动弹出""创建合同""提示或自动跳转到合同创建页面",1.商机阶段：合同签订,"1.阶段推进成功
2.关联商机字段自动填充为该商机",P0
TC-112,,报表中心-列表页面展示,用户已登录系统（admin/admin）,"1.在顶部导航菜单中，点击""报表中心""模块",,1.进入报表中心列表页面，展示报表类型及入口,P1
TC-113,,报表中心-报表类型展示,用户已登录系统，进入报表中心,1.在报表中心页面，查看报表类型列表,,1.展示客户分析、商机分析、合同分析、销售漏斗等报表类型,P1
TC-114,,报表中心-客户分析报表,用户已登录系统，进入报表中心，存在客户数据,"1.点击""客户分析""报表类型",,1.进入客户分析详情页，展示客户数量、来源分布、等级分布等图表,P1
TC-115,,报表中心-客户分析-时间范围筛选,用户已登录系统，进入客户分析报表,"1.在时间范围选择器中选择日期范围
2.点击""查询""按钮",1.时间范围：2025-01-01 至 2025-06-30,"1.日期范围选择成功
2.报表数据按所选时间范围重新计算展示",P1
TC-116,,报表中心-商机分析报表,用户已登录系统，进入报表中心，存在商机数据,"1.点击""商机分析""报表类型",,1.进入商机分析详情页，展示商机数量、阶段分布、转化率等图表,P1
TC-117,,报表中心-商机分析-转化率漏斗,用户已登录系统，进入商机分析报表，存在多阶段商机,1.在商机分析页面，查看转化率漏斗图,,1.展示从初步接触到最终成交各阶段的转化率,P1
TC-118,,报表中心-合同分析报表,用户已登录系统，进入报表中心，存在合同数据,"1.点击""合同分析""报表类型",,1.进入合同分析详情页，展示合同数量、金额、状态分布等图表,P1
TC-119,,报表中心-合同分析-金额统计,用户已登录系统，进入合同分析报表,1.在合同分析页面，查看合同金额统计,,1.展示合同总金额、当月合同金额、当季合同金额等数据,P1
TC-120,,报表中心-销售漏斗报表,用户已登录系统，进入报表中心，存在销售数据,"1.点击""销售漏斗""报表类型",,1.进入销售漏斗详情页，展示从线索到成交的完整漏斗图,P1
TC-121,,报表中心-销售漏斗-各阶段数据,用户已登录系统，进入销售漏斗报表,1.在销售漏斗页面，查看各阶段数据,,1.展示各阶段客户数量、金额、转化率数据,P1
TC-122,,报表中心-导出报表,用户已登录系统，进入某报表详情页,"1.在报表详情页，点击「导出」按钮
2.选择导出格式为Excel，点击""导出""",2.导出格式：Excel,"1.弹出导出设置（如导出格式、范围等）
2.导出成功，下载Excel文件",P1
TC-123,,报表中心-无数据提示,用户已登录系统，进入报表中心，不存在相关数据,1.进入某报表详情页,,"1.显示""暂无数据""提示",P2
TC-124,,报表中心-普通用户权限验证,系统存在普通用户（非管理员）,"1.使用普通用户账号登录系统
2.尝试进入报表中心",1.用户名：user1，密码：user123,"1.登录成功
2.根据权限设置，或可查看报表或提示""无权限访问""",P0
